genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
rut	71	1509	712	3761	871	1665	872	881	1458	754	4865	2566	4637	2458	2747	2402	6260	4380	2507	2927	9949	16911	14264	18450	20805	13544	15238	13152	9826	15613	20665	16581	14298	18039	20966	10329	15498	22651	16569	17750	17826	18332	487	1900	480	1184	1123	1419	499	1237	874	256	1394	64	1141	966	416	442	28	748	325	676	1825	498	597	1102	83	619	597	0
S6kII	144	27	103	1803	317	249	501	393	175	284	488	303	539	889	423	587	430	528	420	1083	430	626	926	1329	909	704	1036	950	534	885	1091	1259	728	808	739	361	634	1365	736	764	650	1203	553	367	29	489	910	81	119	457	651	130	528	410	3	488	297	125	381	921	26	182	246	186	470	323	269	53	30	18
Sap47	17241	27565	18665	59879	21361	15435	32830	29606	26392	24490	58071	28452	41381	34014	35585	28666	24919	22642	30444	30462	16990	31710	22487	38187	28908	16930	26261	24373	15544	26256	37174	28480	22616	31953	43279	17277	30262	39787	32186	34541	27944	35815	26841	43426	40229	22723	25145	30900	21270	38812	17382	24867	24899	12657	21215	24534	12115	16169	6957	23399	14543	8172	28724	31844	15478	23358	5671	19804	17569	5772
Scamp	824	407	639	939	2227	831	552	1895	743	1058	1090	385	659	1199	652	773	812	1926	530	1036	456	727	951	1428	856	897	948	1211	412	878	1067	2028	1695	1008	1421	492	1412	2042	1482	1510	689	1422	366	957	385	300	1129	1016	780	678	441	297	525	544	495	361	66	455	3	552	0	660	197	1574	525	412	1003	1798	32	370
scb	0	130	4	124	143	0	0	46	33	6	1	0	0	1	307	2	21	65	21	60	106	213	145	271	116	345	108	100	83	209	6	50	8	14	0	0	36	89	23	44	2	197	37	58	0	3	26	50	0	1	442	0	0	2	0	5	0	9	0	0	0	0	0	34	0	298	0	2	0	0
scrib	195	330	289	1784	472	476	537	1012	221	533	2757	1210	1982	1170	544	546	2062	1707	545	836	1361	2000	2592	3606	1926	2318	2093	3165	1846	2205	2337	4237	3036	2051	2178	914	2683	4942	3013	2298	2118	4088	240	532	170	46	592	565	159	174	619	450	2	86	356	248	163	0	336	568	173	1251	1120	252	267	540	154	174	0	56
sgg	569	1831	1126	2455	389	977	625	1072	1479	621	959	1754	3059	2740	1780	1662	2320	2256	1563	1866	1367	2294	2232	2086	1837	1700	2049	2634	1104	2093	3190	4261	3570	2265	2981	1334	2982	4630	2814	3135	1909	2637	598	2182	920	999	3248	1415	925	1287	1156	1740	431	797	424	1203	300	522	421	766	125	648	658	1452	1389	709	446	564	1055	225
Sh	4639	14109	8199	37617	5693	12229	16814	17589	11561	9424	34580	23940	27952	27433	23776	18036	22254	27135	16822	16462	31375	29945	50688	58028	49908	39132	45989	38600	27024	50330	44709	37454	40544	34145	44753	19364	35710	57133	38254	41332	30029	43706	11509	28129	10594	10471	21433	14968	11088	14808	15015	12042	5982	4091	5583	9475	3891	5226	3256	6077	6896	5781	12844	7123	15834	9455	2207	7269	5459	2090
Shal	1104	504	696	3283	1007	882	1813	942	1206	374	2682	1437	3753	1250	2354	1641	1188	1561	1370	1356	1309	1827	2044	3244	1993	1731	1308	1600	1177	2288	2681	2067	1739	2049	3034	1225	1832	3259	2331	2883	1995	2409	713	2357	1941	1500	1954	1245	498	1990	716	1185	1864	1312	361	1510	809	966	17	1883	1850	231	2048	1949	1115	822	34	1365	984	58
shi	4400	7835	6807	16279	6388	4675	6871	8244	9659	4838	18502	9827	20131	15349	9131	12743	14230	14795	14101	21894	4187	14112	7588	15723	10313	9571	8978	9980	5782	8802	11769	18596	14247	10611	13378	4790	12773	17034	12485	12645	10638	16827	7708	8948	8764	7017	19312	9946	6744	14988	5959	10296	5335	4710	4051	8132	4358	5723	2399	4376	2138	2404	6332	8490	7619	4090	934	11646	6472	593
simj	58	404	761	1920	773	343	1177	1064	562	890	1165	1106	1903	1977	2923	1612	446	1360	1011	1259	1043	1539	1508	2488	1657	993	1920	1867	1055	1555	2239	2473	1425	1965	1934	820	2081	2709	2077	2178	1611	2045	801	711	450	538	624	944	599	483	985	254	292	518	258	412	339	382	482	150	98	109	678	415	613	485	52	353	352	26
Socs36E	918	661	636	3419	1441	1021	757	769	437	585	1152	1252	755	1622	1198	1769	1447	1790	1477	1684	786	1122	1031	1032	1034	1668	947	934	1006	964	1177	1454	1247	1263	1653	731	1490	1915	1173	1420	978	1194	423	1294	462	717	723	889	481	395	765	592	681	112	254	522	347	214	214	64	304	479	314	499	253	209	100	597	1127	1
spi	445	520	156	1579	1112	193	240	1067	869	28	2870	855	2756	677	897	483	483	1660	405	1197	197	336	697	1414	482	607	473	668	470	403	613	1235	1508	500	793	150	802	1091	860	814	526	975	147	591	428	259	1539	372	61	243	400	776	1036	124	150	117	519	1605	0	498	59	86	394	678	650	139	64	0	252	6
